 i 	 x 	 y 	 xe 	 ye
0	105	0.000441514	0	9.14996e-05	
1	107	0.000580417	0	8.89004e-05	
2	109	0.000659384	0	8.60675e-05	
3	111	0.000653615	0	8.08009e-05	
4	113	0.000626863	0	7.76813e-05	
5	115	0.000579243	0	6.83109e-05	
6	117	0.000670731	0	6.09784e-05	
7	119	0.000563337	0	5.75201e-05	
8	121	0.000683212	0	5.10122e-05	
9	123	0.000462151	0	5.12846e-05	
10	125	0.000568869	0	4.50633e-05	
11	127	0.000431255	0	5.19763e-05	
12	129	0.000599548	0	5.24651e-05	
13	131	0.000525727	0	5.39793e-05	
14	133	0.000387533	0	5.42504e-05	
15	135	0.000419324	0	5.53825e-05	
16	137	0.000452659	0	5.18069e-05	
