 i 	 x 	 y 	 xe 	 ye
0	180	9.21954e-05	-1	-1	
1	176.54	9.25497e-05	-1	-1	
2	173.09	9.36144e-05	-1	-1	
3	169.67	9.53938e-05	-1	-1	
4	166.29	9.78947e-05	-1	-1	
5	162.97	0.000101126	-1	-1	
6	159.72	0.000105096	-1	-1	
7	156.55	0.000109813	-1	-1	
8	153.46	0.000115285	-1	-1	
9	150.46	0.00012151	-1	-1	
10	147.56	0.000128485	-1	-1	
11	144.75	0.000136192	-1	-1	
12	142.04	0.000144605	-1	-1	
13	139.43	0.000153678	-1	-1	
14	136.92	0.00016335	-1	-1	
15	134.5	0.00017354	-1	-1	
16	132.17	0.000184143	-1	-1	
17	129.93	0.000195035	-1	-1	
18	127.77	0.000206068	-1	-1	
19	125.7	0.000217074	-1	-1	
20	123.7	0.00022787	-1	-1	
21	121.77	0.000238257	-1	-1	
22	119.92	0.000248026	-1	-1	
23	118.13	0.000256965	-1	-1	
24	116.4	0.000264866	-1	-1	
25	114.74	0.000271527	-1	-1	
26	113.12	0.000276764	-1	-1	
27	111.56	0.000280416	-1	-1	
28	110.05	0.000282354	-1	-1	
29	108.58	0.000282483	-1	-1	
30	107.16	0.000280753	-1	-1	
31	105.78	0.000277158	-1	-1	
32	104.44	0.000271741	-1	-1	
33	103.13	0.00026459	-1	-1	
34	101.86	0.00025584	-1	-1	
35	100.62	0.000245665	-1	-1	
36	99.41	0.000234274	-1	-1	
37	98.23	0.0002219	-1	-1	
38	97.07	0.000208798	-1	-1	
39	95.95	0.000195233	-1	-1	
40	94.84	0.000181471	-1	-1	
41	93.76	0.000167774	-1	-1	
42	92.7	0.000154391	-1	-1	
43	91.66	0.000141553	-1	-1	
44	90.64	0.000129464	-1	-1	
45	89.64	0.000118302	-1	-1	
46	88.65	0.000108208	-1	-1	
47	87.68	9.92884e-05	-1	-1	
48	86.73	9.161e-05	-1	-1	
49	85.79	8.52015e-05	-1	-1	
50	84.87	8.00533e-05	-1	-1	
51	83.96	7.61201e-05	-1	-1	
52	83.06	7.33246e-05	-1	-1	
53	82.17	7.15614e-05	-1	-1	
54	81.3	7.07028e-05	-1	-1	
55	80.44	7.06043e-05	-1	-1	
56	79.58	7.11108e-05	-1	-1	
57	78.74	7.20623e-05	-1	-1	
58	77.91	7.32997e-05	-1	-1	
59	77.08	7.46695e-05	-1	-1	
60	76.27	7.60291e-05	-1	-1	
61	75.46	7.72497e-05	-1	-1	
62	74.66	7.82202e-05	-1	-1	
63	73.87	7.88486e-05	-1	-1	
64	73.09	7.9064e-05	-1	-1	
65	72.31	7.8817e-05	-1	-1	
66	71.55	7.80793e-05	-1	-1	
67	70.78	7.68437e-05	-1	-1	
68	70.03	7.51216e-05	-1	-1	
69	69.27	7.29422e-05	-1	-1	
70	68.53	7.03492e-05	-1	-1	
71	67.79	6.73987e-05	-1	-1	
72	67.06	6.41564e-05	-1	-1	
73	66.33	6.06943e-05	-1	-1	
74	65.6	5.70883e-05	-1	-1	
75	64.88	5.34148e-05	-1	-1	
76	64.17	4.97489e-05	-1	-1	
77	63.46	4.61613e-05	-1	-1	
78	62.75	4.27164e-05	-1	-1	
79	62.05	3.9471e-05	-1	-1	
80	61.35	3.64723e-05	-1	-1	
81	60.66	3.37578e-05	-1	-1	
82	59.97	3.13541e-05	-1	-1	
83	59.28	2.92772e-05	-1	-1	
84	58.6	2.75327e-05	-1	-1	
85	57.92	2.61164e-05	-1	-1	
86	57.24	2.50155e-05	-1	-1	
87	56.57	2.42092e-05	-1	-1	
88	55.9	2.36705e-05	-1	-1	
89	55.23	2.33673e-05	-1	-1	
90	54.56	2.32639e-05	-1	-1	
91	53.9	2.33222e-05	-1	-1	
92	53.24	2.35032e-05	-1	-1	
93	52.58	2.3768e-05	-1	-1	
94	51.93	2.40789e-05	-1	-1	
95	51.28	2.44007e-05	-1	-1	
96	50.63	2.47009e-05	-1	-1	
97	49.98	2.49509e-05	-1	-1	
98	49.33	2.51265e-05	-1	-1	
99	48.69	2.52079e-05	-1	-1	
100	48.05	2.51804e-05	-1	-1	
101	47.41	2.50342e-05	-1	-1	
102	46.77	2.47647e-05	-1	-1	
103	46.13	2.43717e-05	-1	-1	
104	45.5	2.38598e-05	-1	-1	
105	44.87	2.32377e-05	-1	-1	
106	44.24	2.25173e-05	-1	-1	
107	43.61	2.17136e-05	-1	-1	
108	42.98	2.08441e-05	-1	-1	
109	42.35	1.99276e-05	-1	-1	
110	41.73	1.89839e-05	-1	-1	
111	41.11	1.80333e-05	-1	-1	
112	40.48	1.70953e-05	-1	-1	
113	39.86	1.61891e-05	-1	-1	
114	39.24	1.53321e-05	-1	-1	
115	38.63	1.454e-05	-1	-1	
116	38.01	1.38266e-05	-1	-1	
117	37.4	1.3203e-05	-1	-1	
118	36.78	1.26783e-05	-1	-1	
119	36.17	1.22585e-05	-1	-1	
120	35.56	1.19474e-05	-1	-1	
121	34.95	1.17459e-05	-1	-1	
122	34.34	1.16529e-05	-1	-1	
123	33.73	1.16646e-05	-1	-1	
124	33.12	1.17754e-05	-1	-1	
125	32.51	1.19776e-05	-1	-1	
126	31.91	1.22621e-05	-1	-1	
127	31.3	1.26184e-05	-1	-1	
128	30.7	1.30348e-05	-1	-1	
129	30.09	1.34989e-05	-1	-1	
130	29.49	1.3998e-05	-1	-1	
131	28.89	1.4519e-05	-1	-1	
132	28.29	1.50487e-05	-1	-1	
133	27.69	1.55746e-05	-1	-1	
134	27.09	1.60844e-05	-1	-1	
135	26.49	1.65666e-05	-1	-1	
136	25.89	1.70106e-05	-1	-1	
137	25.3	1.7407e-05	-1	-1	
138	24.7	1.77473e-05	-1	-1	
139	24.1	1.80245e-05	-1	-1	
140	23.51	1.82327e-05	-1	-1	
141	22.91	1.83676e-05	-1	-1	
142	22.32	1.84261e-05	-1	-1	
143	21.73	1.84064e-05	-1	-1	
144	21.13	1.8308e-05	-1	-1	
145	20.54	1.81319e-05	-1	-1	
146	19.95	1.78798e-05	-1	-1	
147	19.36	1.75548e-05	-1	-1	
148	18.77	1.71609e-05	-1	-1	
149	18.18	1.67029e-05	-1	-1	
150	17.59	1.61861e-05	-1	-1	
151	17	1.56169e-05	-1	-1	
152	16.41	1.50015e-05	-1	-1	
153	15.82	1.43471e-05	-1	-1	
154	15.23	1.36605e-05	-1	-1	
155	14.64	1.29489e-05	-1	-1	
156	14.05	1.22196e-05	-1	-1	
157	13.46	1.14793e-05	-1	-1	
158	12.88	1.07349e-05	-1	-1	
159	12.29	9.99283e-06	-1	-1	
160	11.7	9.25901e-06	-1	-1	
161	11.12	8.53905e-06	-1	-1	
