 i 	 x 	 y 	 xe 	 ye
0	180	0.000241265	-1	-1	
1	176.54	0.000241691	-1	-1	
2	173.09	0.000242943	-1	-1	
3	169.67	0.000244935	-1	-1	
4	166.29	0.000247527	-1	-1	
5	162.97	0.000250531	-1	-1	
6	159.72	0.000253718	-1	-1	
7	156.55	0.000256829	-1	-1	
8	153.46	0.000259588	-1	-1	
9	150.46	0.000261717	-1	-1	
10	147.56	0.000262957	-1	-1	
11	144.75	0.000263084	-1	-1	
12	142.04	0.000261924	-1	-1	
13	139.43	0.000259372	-1	-1	
14	136.92	0.000255395	-1	-1	
15	134.5	0.000250039	-1	-1	
16	132.17	0.000243426	-1	-1	
17	129.93	0.000235747	-1	-1	
18	127.77	0.000227248	-1	-1	
19	125.7	0.000218219	-1	-1	
20	123.7	0.000208971	-1	-1	
21	121.77	0.000199826	-1	-1	
22	119.92	0.000191089	-1	-1	
23	118.13	0.000183038	-1	-1	
24	116.4	0.000175903	-1	-1	
25	114.74	0.000169855	-1	-1	
26	113.12	0.000164993	-1	-1	
27	111.56	0.000161337	-1	-1	
28	110.05	0.000158832	-1	-1	
29	108.58	0.000157347	-1	-1	
30	107.16	0.000156691	-1	-1	
31	105.78	0.000156629	-1	-1	
32	104.44	0.000156898	-1	-1	
33	103.13	0.000157235	-1	-1	
34	101.86	0.000157389	-1	-1	
35	100.62	0.000157141	-1	-1	
36	99.41	0.000156317	-1	-1	
37	98.23	0.000154794	-1	-1	
38	97.07	0.000152502	-1	-1	
39	95.95	0.000149422	-1	-1	
40	94.84	0.000145585	-1	-1	
41	93.76	0.000141062	-1	-1	
42	92.7	0.000135959	-1	-1	
43	91.66	0.000130411	-1	-1	
44	90.64	0.000124576	-1	-1	
45	89.64	0.000118623	-1	-1	
46	88.65	0.000112728	-1	-1	
47	87.68	0.000107066	-1	-1	
48	86.73	0.0001018	-1	-1	
49	85.79	9.70743e-05	-1	-1	
50	84.87	9.30056e-05	-1	-1	
51	83.96	8.96777e-05	-1	-1	
52	83.06	8.71365e-05	-1	-1	
53	82.17	8.5389e-05	-1	-1	
