 i 	 x 	 y 	 xe 	 ye
0	180	0.000292778	-1	-1	
1	176.54	0.0002932	-1	-1	
2	173.09	0.000294423	-1	-1	
3	169.67	0.000296325	-1	-1	
4	166.29	0.000298708	-1	-1	
5	162.97	0.000301302	-1	-1	
6	159.72	0.00030378	-1	-1	
7	156.55	0.000305774	-1	-1	
8	153.46	0.000306892	-1	-1	
9	150.46	0.000306743	-1	-1	
10	147.56	0.000304965	-1	-1	
11	144.75	0.000301252	-1	-1	
12	142.04	0.000295374	-1	-1	
13	139.43	0.000287203	-1	-1	
14	136.92	0.000276726	-1	-1	
15	134.5	0.000264048	-1	-1	
16	132.17	0.000249394	-1	-1	
17	129.93	0.000233094	-1	-1	
18	127.77	0.000215571	-1	-1	
19	125.7	0.000197314	-1	-1	
20	123.7	0.000178858	-1	-1	
21	121.77	0.000160751	-1	-1	
22	119.92	0.00014353	-1	-1	
23	118.13	0.000127693	-1	-1	
24	116.4	0.000113669	-1	-1	
25	114.74	0.0001018	-1	-1	
26	113.12	9.23174e-05	-1	-1	
27	111.56	8.53323e-05	-1	-1	
28	110.05	8.08304e-05	-1	-1	
29	108.58	7.86765e-05	-1	-1	
30	107.16	7.86276e-05	-1	-1	
31	105.78	8.03547e-05	-1	-1	
32	104.44	8.34692e-05	-1	-1	
33	103.13	8.75531e-05	-1	-1	
34	101.86	9.21868e-05	-1	-1	
35	100.62	9.69755e-05	-1	-1	
36	99.41	0.000101569	-1	-1	
37	98.23	0.000105674	-1	-1	
38	97.07	0.000109065	-1	-1	
39	95.95	0.000111583	-1	-1	
40	94.84	0.000113134	-1	-1	
41	93.76	0.000113688	-1	-1	
42	92.7	0.000113268	-1	-1	
43	91.66	0.000111948	-1	-1	
44	90.64	0.000109844	-1	-1	
45	89.64	0.000107107	-1	-1	
46	88.65	0.000103913	-1	-1	
47	87.68	0.000100453	-1	-1	
48	86.73	9.69236e-05	-1	-1	
49	85.79	9.35125e-05	-1	-1	
50	84.87	9.03894e-05	-1	-1	
