 i 	 x 	 y 	 xe 	 ye
0	105	0.00040104	0	3.1761e-05	
1	107	0.000419737	0	3.03195e-05	
2	109	0.00043319	0	3.06611e-05	
3	111	0.000470185	0	3.22813e-05	
4	113	0.000457436	0	3.17893e-05	
5	115	0.000523313	0	3.41337e-05	
6	117	0.000485561	0	3.36782e-05	
7	119	0.0005371	0	3.55811e-05	
8	121	0.000672642	0	4.01811e-05	
9	123	0.000784106	0	4.54523e-05	
10	125	0.000966724	0	5.26328e-05	
11	127	0.000897425	0	5.41175e-05	
12	129	0.00108995	0	5.90782e-05	
13	131	0.00122545	0	6.38473e-05	
14	133	0.00130696	0	6.11969e-05	
15	135	0.00158624	0	7.10182e-05	
16	137	0.00148287	0	6.95197e-05	
17	139	0.00148187	0	7.11661e-05	
18	141	0.00170674	0	8.11819e-05	
19	143	0.00181563	0	8.62404e-05	
20	145	0.0016908	0	8.54604e-05	
21	147	0.00172484	0	8.77331e-05	
22	149	0.00150401	0	8.76782e-05	
23	151	0.00159144	0	9.26163e-05	
24	153	0.00146003	0	9.30119e-05	
25	155	0.00125381	0	0.000110286	
