 i 	 x 	 y 	 xe 	 ye
0	105	0.000389033	0	5.16276e-05	
1	107	0.000530951	0	5.63123e-05	
2	109	0.00060477	0	5.80828e-05	
3	111	0.000585231	0	5.77813e-05	
4	113	0.000605075	0	5.85646e-05	
5	115	0.000664546	0	5.68299e-05	
6	117	0.00058844	0	5.86681e-05	
7	119	0.000631423	0	5.91499e-05	
8	121	0.000568121	0	5.67248e-05	
9	123	0.000672329	0	5.78843e-05	
10	125	0.00052326	0	5.5668e-05	
11	127	0.00047143	0	5.61712e-05	
12	129	0.000531758	0	5.93201e-05	
13	131	0.000408359	0	5.17793e-05	
14	133	0.000352038	0	4.17001e-05	
15	135	0.000369772	0	4.83696e-05	
