 i 	 x 	 y 	 xe 	 ye
0	180	0.000104125	-1	-1	
1	176.99	0.000104421	-1	-1	
2	173.99	0.000105312	-1	-1	
3	171.01	0.000106808	-1	-1	
4	168.06	0.000108926	-1	-1	
5	165.14	0.000111692	-1	-1	
6	162.27	0.000115138	-1	-1	
7	159.44	0.000119304	-1	-1	
8	156.66	0.000124237	-1	-1	
9	153.95	0.00012999	-1	-1	
10	151.3	0.00013662	-1	-1	
11	148.71	0.000144181	-1	-1	
12	146.19	0.000152726	-1	-1	
13	143.74	0.000162295	-1	-1	
14	141.36	0.000172912	-1	-1	
15	139.05	0.000184574	-1	-1	
16	136.81	0.00019725	-1	-1	
17	134.63	0.000210866	-1	-1	
18	132.52	0.000225308	-1	-1	
19	130.48	0.000240409	-1	-1	
20	128.5	0.000255956	-1	-1	
21	126.58	0.000271685	-1	-1	
22	124.71	0.000287289	-1	-1	
23	122.91	0.000302423	-1	-1	
24	121.15	0.000316716	-1	-1	
25	119.45	0.000329783	-1	-1	
26	117.8	0.00034124	-1	-1	
27	116.2	0.000350719	-1	-1	
28	114.64	0.000357887	-1	-1	
29	113.12	0.000362458	-1	-1	
30	111.64	0.00036421	-1	-1	
31	110.2	0.000362996	-1	-1	
32	108.8	0.000358753	-1	-1	
33	107.43	0.000351506	-1	-1	
34	106.1	0.000341372	-1	-1	
35	104.8	0.000328555	-1	-1	
36	103.52	0.000313341	-1	-1	
37	102.28	0.000296086	-1	-1	
38	101.06	0.000277206	-1	-1	
39	99.87	0.000257159	-1	-1	
40	98.7	0.00023643	-1	-1	
41	97.56	0.00021551	-1	-1	
42	96.44	0.000194886	-1	-1	
43	95.34	0.000175014	-1	-1	
44	94.26	0.000156312	-1	-1	
45	93.19	0.000139144	-1	-1	
46	92.15	0.000123809	-1	-1	
47	91.12	0.000110532	-1	-1	
48	90.11	9.94648e-05	-1	-1	
49	89.12	9.06774e-05	-1	-1	
50	88.14	8.41649e-05	-1	-1	
51	87.18	7.98494e-05	-1	-1	
52	86.22	7.75879e-05	-1	-1	
53	85.29	7.71809e-05	-1	-1	
54	84.36	7.83827e-05	-1	-1	
55	83.45	8.09136e-05	-1	-1	
56	82.55	8.44712e-05	-1	-1	
57	81.66	8.87433e-05	-1	-1	
58	80.77	9.34189e-05	-1	-1	
59	79.9	9.81991e-05	-1	-1	
60	79.04	0.000102807	-1	-1	
61	78.19	0.000106995	-1	-1	
62	77.35	0.000110551	-1	-1	
63	76.51	0.000113306	-1	-1	
64	75.69	0.000115131	-1	-1	
65	74.87	0.000115943	-1	-1	
66	74.06	0.000115702	-1	-1	
67	73.26	0.00011441	-1	-1	
68	72.46	0.000112107	-1	-1	
69	71.67	0.000108865	-1	-1	
70	70.89	0.000104784	-1	-1	
71	70.11	9.9987e-05	-1	-1	
72	69.34	9.46128e-05	-1	-1	
73	68.57	8.88095e-05	-1	-1	
74	67.81	8.27291e-05	-1	-1	
75	67.06	7.6522e-05	-1	-1	
76	66.31	7.03317e-05	-1	-1	
77	65.57	6.42906e-05	-1	-1	
78	64.83	5.85167e-05	-1	-1	
79	64.09	5.31105e-05	-1	-1	
80	63.36	4.81534e-05	-1	-1	
81	62.63	4.37065e-05	-1	-1	
82	61.91	3.98106e-05	-1	-1	
83	61.19	3.64864e-05	-1	-1	
84	60.48	3.37361e-05	-1	-1	
85	59.77	3.15445e-05	-1	-1	
86	59.06	2.98814e-05	-1	-1	
87	58.36	2.87043e-05	-1	-1	
88	57.66	2.79603e-05	-1	-1	
89	56.96	2.75893e-05	-1	-1	
90	56.27	2.75266e-05	-1	-1	
91	55.58	2.77054e-05	-1	-1	
92	54.89	2.80591e-05	-1	-1	
93	54.21	2.85234e-05	-1	-1	
94	53.53	2.90386e-05	-1	-1	
95	52.85	2.95506e-05	-1	-1	
96	52.17	3.00121e-05	-1	-1	
97	51.5	3.03841e-05	-1	-1	
98	50.83	3.06355e-05	-1	-1	
99	50.16	3.07441e-05	-1	-1	
100	49.49	3.06959e-05	-1	-1	
101	48.83	3.04849e-05	-1	-1	
102	48.17	3.01128e-05	-1	-1	
103	47.51	2.95877e-05	-1	-1	
104	46.85	2.89235e-05	-1	-1	
105	46.19	2.81389e-05	-1	-1	
106	45.54	2.72559e-05	-1	-1	
107	44.89	2.62994e-05	-1	-1	
108	44.24	2.52954e-05	-1	-1	
109	43.59	2.42706e-05	-1	-1	
110	42.94	2.32509e-05	-1	-1	
111	42.3	2.22611e-05	-1	-1	
112	41.66	2.13237e-05	-1	-1	
113	41.01	2.04589e-05	-1	-1	
114	40.37	1.96834e-05	-1	-1	
115	39.74	1.90108e-05	-1	-1	
116	39.1	1.8451e-05	-1	-1	
117	38.46	1.80101e-05	-1	-1	
118	37.83	1.76909e-05	-1	-1	
119	37.2	1.74925e-05	-1	-1	
120	36.56	1.74108e-05	-1	-1	
121	35.93	1.74388e-05	-1	-1	
122	35.3	1.75671e-05	-1	-1	
123	34.68	1.77839e-05	-1	-1	
124	34.05	1.80757e-05	-1	-1	
125	33.42	1.84279e-05	-1	-1	
126	32.8	1.88249e-05	-1	-1	
127	32.17	1.92508e-05	-1	-1	
128	31.55	1.96896e-05	-1	-1	
129	30.93	2.01258e-05	-1	-1	
130	30.31	2.05444e-05	-1	-1	
131	29.69	2.09318e-05	-1	-1	
132	29.07	2.12755e-05	-1	-1	
133	28.45	2.15646e-05	-1	-1	
134	27.84	2.179e-05	-1	-1	
135	27.22	2.19442e-05	-1	-1	
136	26.6	2.2022e-05	-1	-1	
137	25.99	2.202e-05	-1	-1	
138	25.37	2.19369e-05	-1	-1	
139	24.76	2.17731e-05	-1	-1	
140	24.15	2.15313e-05	-1	-1	
141	23.54	2.12156e-05	-1	-1	
142	22.93	2.08321e-05	-1	-1	
143	22.31	2.0388e-05	-1	-1	
144	21.7	1.9892e-05	-1	-1	
145	21.1	1.9354e-05	-1	-1	
