 i 	 x 	 y 	 xe 	 ye
0	180	0.000148907	-1	-1	
1	176.54	0.000149209	-1	-1	
2	173.09	0.0001501	-1	-1	
3	169.67	0.000151536	-1	-1	
4	166.29	0.000153442	-1	-1	
5	162.97	0.000155718	-1	-1	
6	159.72	0.000158243	-1	-1	
7	156.55	0.000160879	-1	-1	
8	153.46	0.000163477	-1	-1	
9	150.46	0.000165888	-1	-1	
10	147.56	0.000167971	-1	-1	
11	144.75	0.000169602	-1	-1	
12	142.04	0.000170682	-1	-1	
13	139.43	0.000171143	-1	-1	
14	136.92	0.000170958	-1	-1	
15	134.5	0.000170133	-1	-1	
16	132.17	0.000168713	-1	-1	
17	129.93	0.000166776	-1	-1	
18	127.77	0.000164426	-1	-1	
19	125.7	0.000161783	-1	-1	
20	123.7	0.000158981	-1	-1	
21	121.77	0.000156151	-1	-1	
22	119.92	0.000153415	-1	-1	
23	118.13	0.000150882	-1	-1	
24	116.4	0.000148633	-1	-1	
25	114.74	0.000146719	-1	-1	
26	113.12	0.000145156	-1	-1	
27	111.56	0.000143924	-1	-1	
28	110.05	0.000142964	-1	-1	
29	108.58	0.000142189	-1	-1	
30	107.16	0.000141484	-1	-1	
31	105.78	0.000140722	-1	-1	
32	104.44	0.000139769	-1	-1	
33	103.13	0.000138501	-1	-1	
34	101.86	0.00013681	-1	-1	
35	100.62	0.000134614	-1	-1	
36	99.41	0.00013186	-1	-1	
37	98.23	0.00012853	-1	-1	
38	97.07	0.000124637	-1	-1	
39	95.95	0.000120225	-1	-1	
40	94.84	0.000115364	-1	-1	
41	93.76	0.000110146	-1	-1	
42	92.7	0.000104679	-1	-1	
43	91.66	9.90819e-05	-1	-1	
44	90.64	9.34819e-05	-1	-1	
45	89.64	8.8006e-05	-1	-1	
46	88.65	8.27783e-05	-1	-1	
47	87.68	7.79141e-05	-1	-1	
48	86.73	7.35153e-05	-1	-1	
49	85.79	6.96655e-05	-1	-1	
50	84.87	6.64259e-05	-1	-1	
51	83.96	6.38324e-05	-1	-1	
52	83.06	6.18942e-05	-1	-1	
53	82.17	6.05936e-05	-1	-1	
54	81.3	5.98876e-05	-1	-1	
55	80.44	5.97113e-05	-1	-1	
56	79.58	5.99814e-05	-1	-1	
57	78.74	6.06016e-05	-1	-1	
58	77.91	6.14679e-05	-1	-1	
59	77.08	6.24732e-05	-1	-1	
60	76.27	6.35127e-05	-1	-1	
61	75.46	6.44881e-05	-1	-1	
62	74.66	6.53106e-05	-1	-1	
63	73.87	6.59036e-05	-1	-1	
64	73.09	6.62048e-05	-1	-1	
65	72.31	6.61665e-05	-1	-1	
66	71.55	6.57565e-05	-1	-1	
67	70.78	6.49577e-05	-1	-1	
68	70.03	6.37674e-05	-1	-1	
69	69.27	6.21965e-05	-1	-1	
70	68.53	6.02682e-05	-1	-1	
71	67.79	5.80164e-05	-1	-1	
72	67.06	5.54843e-05	-1	-1	
73	66.33	5.27226e-05	-1	-1	
74	65.6	4.97874e-05	-1	-1	
75	64.88	4.67387e-05	-1	-1	
76	64.17	4.36376e-05	-1	-1	
77	63.46	4.05452e-05	-1	-1	
78	62.75	3.752e-05	-1	-1	
79	62.05	3.46162e-05	-1	-1	
80	61.35	3.18825e-05	-1	-1	
81	60.66	2.93603e-05	-1	-1	
82	59.97	2.70831e-05	-1	-1	
83	59.28	2.50756e-05	-1	-1	
84	58.6	2.33538e-05	-1	-1	
85	57.92	2.1925e-05	-1	-1	
86	57.24	2.07884e-05	-1	-1	
87	56.57	1.99357e-05	-1	-1	
88	55.9	1.93523e-05	-1	-1	
89	55.23	1.9018e-05	-1	-1	
90	54.56	1.89084e-05	-1	-1	
91	53.9	1.89957e-05	-1	-1	
92	53.24	1.92501e-05	-1	-1	
93	52.58	1.96403e-05	-1	-1	
94	51.93	2.01344e-05	-1	-1	
95	51.28	2.0701e-05	-1	-1	
96	50.63	2.13094e-05	-1	-1	
97	49.98	2.19302e-05	-1	-1	
98	49.33	2.25364e-05	-1	-1	
99	48.69	2.31031e-05	-1	-1	
100	48.05	2.36082e-05	-1	-1	
101	47.41	2.4033e-05	-1	-1	
102	46.77	2.43619e-05	-1	-1	
103	46.13	2.45831e-05	-1	-1	
104	45.5	2.46884e-05	-1	-1	
105	44.87	2.46732e-05	-1	-1	
106	44.24	2.45367e-05	-1	-1	
107	43.61	2.4281e-05	-1	-1	
108	42.98	2.39118e-05	-1	-1	
109	42.35	2.34368e-05	-1	-1	
110	41.73	2.28666e-05	-1	-1	
111	41.11	2.22129e-05	-1	-1	
112	40.48	2.14892e-05	-1	-1	
113	39.86	2.07095e-05	-1	-1	
114	39.24	1.98881e-05	-1	-1	
115	38.63	1.90395e-05	-1	-1	
116	38.01	1.81776e-05	-1	-1	
117	37.4	1.73154e-05	-1	-1	
118	36.78	1.64653e-05	-1	-1	
119	36.17	1.56382e-05	-1	-1	
120	35.56	1.48439e-05	-1	-1	
121	34.95	1.40907e-05	-1	-1	
122	34.34	1.33855e-05	-1	-1	
123	33.73	1.2734e-05	-1	-1	
124	33.12	1.21402e-05	-1	-1	
125	32.51	1.16069e-05	-1	-1	
126	31.91	1.11357e-05	-1	-1	
127	31.3	1.0727e-05	-1	-1	
128	30.7	1.03802e-05	-1	-1	
129	30.09	1.00936e-05	-1	-1	
130	29.49	9.86481e-06	-1	-1	
131	28.89	9.69079e-06	-1	-1	
132	28.29	9.56787e-06	-1	-1	
133	27.69	9.49196e-06	-1	-1	
134	27.09	9.45866e-06	-1	-1	
135	26.49	9.46342e-06	-1	-1	
136	25.89	9.50159e-06	-1	-1	
137	25.3	9.56857e-06	-1	-1	
138	24.7	9.65991e-06	-1	-1	
139	24.1	9.77139e-06	-1	-1	
140	23.51	9.89908e-06	-1	-1	
141	22.91	1.00394e-05	-1	-1	
142	22.32	1.01892e-05	-1	-1	
143	21.73	1.03458e-05	-1	-1	
144	21.13	1.05068e-05	-1	-1	
145	20.54	1.06705e-05	-1	-1	
146	19.95	1.08355e-05	-1	-1	
147	19.36	1.10008e-05	-1	-1	
148	18.77	1.11658e-05	-1	-1	
149	18.18	1.13303e-05	-1	-1	
150	17.59	1.14942e-05	-1	-1	
151	17	1.16579e-05	-1	-1	
152	16.41	1.18217e-05	-1	-1	
153	15.82	1.19863e-05	-1	-1	
154	15.23	1.21522e-05	-1	-1	
155	14.64	1.23199e-05	-1	-1	
156	14.05	1.24901e-05	-1	-1	
157	13.46	1.26632e-05	-1	-1	
158	12.88	1.28394e-05	-1	-1	
159	12.29	1.30189e-05	-1	-1	
160	11.7	1.32017e-05	-1	-1	
161	11.12	1.33873e-05	-1	-1	
162	10.53	1.35754e-05	-1	-1	
163	9.94	1.37653e-05	-1	-1	
164	9.36	1.39559e-05	-1	-1	
165	8.77	1.41462e-05	-1	-1	
166	8.19	1.4335e-05	-1	-1	
167	7.6	1.45207e-05	-1	-1	
168	7.01	1.47018e-05	-1	-1	
169	6.43	1.48767e-05	-1	-1	
170	5.84	1.50436e-05	-1	-1	
171	5.26	1.5201e-05	-1	-1	
172	4.68	1.53471e-05	-1	-1	
173	4.09	1.54803e-05	-1	-1	
174	3.51	1.55991e-05	-1	-1	
175	2.92	1.57022e-05	-1	-1	
176	2.34	1.57883e-05	-1	-1	
177	1.75	1.58564e-05	-1	-1	
178	1.17	1.59056e-05	-1	-1	
179	0.58	1.59354e-05	-1	-1	
180	0	1.59453e-05	-1	-1	
