 i 	 x 	 y 	 xe 	 ye
0	180	0.000131811	-1	-1	
1	176.43	0.000131956	-1	-1	
2	172.87	0.000132372	-1	-1	
3	169.35	0.000133008	-1	-1	
4	165.88	0.000133781	-1	-1	
5	162.47	0.000134578	-1	-1	
6	159.13	0.000135265	-1	-1	
7	155.88	0.000135691	-1	-1	
8	152.72	0.000135699	-1	-1	
9	149.66	0.000135138	-1	-1	
10	146.71	0.000133869	-1	-1	
11	143.86	0.000131783	-1	-1	
12	141.11	0.000128805	-1	-1	
13	138.47	0.000124902	-1	-1	
14	135.93	0.000120086	-1	-1	
15	133.49	0.000114419	-1	-1	
16	131.15	0.000108003	-1	-1	
17	128.9	0.000100979	-1	-1	
18	126.74	9.35187e-05	-1	-1	
19	124.67	8.58175e-05	-1	-1	
20	122.67	7.80845e-05	-1	-1	
21	120.75	7.05346e-05	-1	-1	
22	118.9	6.33791e-05	-1	-1	
23	117.12	5.68159e-05	-1	-1	
24	115.41	5.1019e-05	-1	-1	
25	113.75	4.61281e-05	-1	-1	
26	112.15	4.22391e-05	-1	-1	
27	110.6	3.93972e-05	-1	-1	
28	109.1	3.7593e-05	-1	-1	
29	107.65	3.6764e-05	-1	-1	
30	106.24	3.68009e-05	-1	-1	
31	104.88	3.75576e-05	-1	-1	
32	103.55	3.88649e-05	-1	-1	
33	102.26	4.05447e-05	-1	-1	
34	101	4.24238e-05	-1	-1	
35	99.77	4.4345e-05	-1	-1	
36	98.58	4.61742e-05	-1	-1	
37	97.41	4.7805e-05	-1	-1	
38	96.27	4.91587e-05	-1	-1	
39	95.16	5.01828e-05	-1	-1	
40	94.07	5.08475e-05	-1	-1	
41	93	5.11432e-05	-1	-1	
42	91.95	5.10772e-05	-1	-1	
43	90.92	5.06727e-05	-1	-1	
44	89.92	4.99676e-05	-1	-1	
45	88.93	4.90136e-05	-1	-1	
46	87.95	4.78741e-05	-1	-1	
47	87	4.66223e-05	-1	-1	
48	86.06	4.53359e-05	-1	-1	
49	85.13	4.40925e-05	-1	-1	
50	84.22	4.29635e-05	-1	-1	
51	83.32	4.20082e-05	-1	-1	
52	82.43	4.12699e-05	-1	-1	
53	81.56	4.07726e-05	-1	-1	
54	80.69	4.05202e-05	-1	-1	
55	79.84	4.04976e-05	-1	-1	
56	79	4.06732e-05	-1	-1	
57	78.17	4.10031e-05	-1	-1	
58	77.34	4.14351e-05	-1	-1	
59	76.53	4.19136e-05	-1	-1	
60	75.72	4.23837e-05	-1	-1	
61	74.93	4.27944e-05	-1	-1	
62	74.14	4.31011e-05	-1	-1	
63	73.36	4.32669e-05	-1	-1	
64	72.58	4.32629e-05	-1	-1	
65	71.81	4.30682e-05	-1	-1	
66	71.05	4.26692e-05	-1	-1	
67	70.3	4.2059e-05	-1	-1	
68	69.55	4.12365e-05	-1	-1	
69	68.81	4.02062e-05	-1	-1	
70	68.07	3.89777e-05	-1	-1	
71	67.34	3.75654e-05	-1	-1	
72	66.61	3.59884e-05	-1	-1	
73	65.89	3.42704e-05	-1	-1	
74	65.17	3.2439e-05	-1	-1	
75	64.46	3.05254e-05	-1	-1	
76	63.75	2.85636e-05	-1	-1	
77	63.05	2.65893e-05	-1	-1	
78	62.35	2.46389e-05	-1	-1	
79	61.65	2.27479e-05	-1	-1	
80	60.96	2.09495e-05	-1	-1	
81	60.28	1.92739e-05	-1	-1	
