 i 	 x 	 y 	 xe 	 ye
0	105	7.44348e-05	0	0.000164442	
1	107	7.6175e-05	0	0.000182327	
2	109	6.962e-05	0	0.000173349	
3	111	7.07948e-05	0	0.000158183	
4	113	5.88527e-05	0	0.000147984	
5	115	8.68024e-05	0	0.000129577	
6	117	0.000100294	0	0.00011534	
7	119	0.000110128	0	0.000102186	
8	121	0.000108644	0	8.55419e-05	
9	123	0.000132327	0	7.59676e-05	
10	125	0.000147154	0	5.55077e-05	
11	127	9.89347e-05	0	5.42181e-05	
12	129	0.000198227	0	6.34317e-05	
13	131	0.000173403	0	5.74234e-05	
14	133	0.000182854	0	5.1132e-05	
15	135	0.000221912	0	4.82289e-05	
16	137	0.000219404	0	5.05144e-05	
17	139	0.000257475	0	7.22959e-05	
18	141	0.000233044	0	6.35856e-05	
19	143	0.00027254	0	7.57057e-05	
20	145	0.000314511	0	8.73404e-05	
21	147	0.000259887	0	8.20494e-05	
22	149	0.000341251	0	7.78259e-05	
23	151	0.000366365	0	0.000107908	
24	153	0.000372309	0	0.000115159	
25	155	0.000316707	0	0.000130355	
