 i 	 x 	 y 	 xe 	 ye
0	105	0.000467597	0	0.000175681	
1	107	0.000610836	0	0.000178465	
2	109	0.00069923	0	0.000170043	
3	111	0.000676792	0	0.000157649	
4	113	0.000657199	0	0.000148433	
5	115	0.000599609	0	0.000132462	
6	117	0.000688904	0	0.000108353	
7	119	0.00059601	0	0.000104193	
8	121	0.000705956	0	8.74439e-05	
9	123	0.000480612	0	7.91299e-05	
10	125	0.000589084	0	5.70278e-05	
11	127	0.000455746	0	5.76649e-05	
12	129	0.000607546	0	6.76737e-05	
13	131	0.000496267	0	6.17039e-05	
14	133	0.000417139	0	5.43548e-05	
15	135	0.000440805	0	5.03773e-05	
16	137	0.000482407	0	5.36614e-05	
