 i 	 x 	 y 	 xe 	 ye
0	180	7.61678e-05	-1	-1	
1	176.99	7.63841e-05	-1	-1	
2	173.99	7.70356e-05	-1	-1	
3	171.01	7.81298e-05	-1	-1	
4	168.06	7.96795e-05	-1	-1	
5	165.14	8.17027e-05	-1	-1	
6	162.27	8.42234e-05	-1	-1	
7	159.44	8.72708e-05	-1	-1	
8	156.66	9.08794e-05	-1	-1	
9	153.95	9.50879e-05	-1	-1	
10	151.3	9.99374e-05	-1	-1	
11	148.71	0.000105469	-1	-1	
12	146.19	0.000111719	-1	-1	
13	143.74	0.000118719	-1	-1	
14	141.36	0.000126485	-1	-1	
15	139.05	0.000135016	-1	-1	
16	136.81	0.000144288	-1	-1	
17	134.63	0.000154249	-1	-1	
18	132.52	0.000164813	-1	-1	
19	130.48	0.000175859	-1	-1	
20	128.5	0.000187232	-1	-1	
21	126.58	0.000198738	-1	-1	
22	124.71	0.000210152	-1	-1	
23	122.91	0.000221222	-1	-1	
24	121.15	0.000231678	-1	-1	
25	119.45	0.000241236	-1	-1	
26	117.8	0.000249617	-1	-1	
27	116.2	0.000256551	-1	-1	
28	114.64	0.000261795	-1	-1	
29	113.12	0.000265138	-1	-1	
30	111.64	0.00026642	-1	-1	
31	110.2	0.000265532	-1	-1	
32	108.8	0.000262428	-1	-1	
33	107.43	0.000257127	-1	-1	
34	106.1	0.000249714	-1	-1	
35	104.8	0.000240338	-1	-1	
36	103.52	0.000229209	-1	-1	
37	102.28	0.000216587	-1	-1	
38	101.06	0.000202776	-1	-1	
39	99.87	0.000188112	-1	-1	
40	98.7	0.000172948	-1	-1	
41	97.56	0.000157646	-1	-1	
42	96.44	0.000142559	-1	-1	
43	95.34	0.000128023	-1	-1	
44	94.26	0.000114342	-1	-1	
45	93.19	0.000101784	-1	-1	
46	92.15	9.05661e-05	-1	-1	
47	91.12	8.08544e-05	-1	-1	
48	90.11	7.27585e-05	-1	-1	
49	89.12	6.63306e-05	-1	-1	
50	88.14	6.15666e-05	-1	-1	
51	87.18	5.84099e-05	-1	-1	
52	86.22	5.67556e-05	-1	-1	
53	85.29	5.64579e-05	-1	-1	
54	84.36	5.7337e-05	-1	-1	
55	83.45	5.91883e-05	-1	-1	
56	82.55	6.17908e-05	-1	-1	
57	81.66	6.49158e-05	-1	-1	
58	80.77	6.83359e-05	-1	-1	
59	79.9	7.18327e-05	-1	-1	
60	79.04	7.52032e-05	-1	-1	
61	78.19	7.82666e-05	-1	-1	
62	77.35	8.08682e-05	-1	-1	
63	76.51	8.28831e-05	-1	-1	
64	75.69	8.42181e-05	-1	-1	
65	74.87	8.48121e-05	-1	-1	
66	74.06	8.46361e-05	-1	-1	
67	73.26	8.36912e-05	-1	-1	
68	72.46	8.20064e-05	-1	-1	
69	71.67	7.96346e-05	-1	-1	
70	70.89	7.66494e-05	-1	-1	
71	70.11	7.31406e-05	-1	-1	
72	69.34	6.92093e-05	-1	-1	
73	68.57	6.49642e-05	-1	-1	
74	67.81	6.05164e-05	-1	-1	
75	67.06	5.59759e-05	-1	-1	
76	66.31	5.14477e-05	-1	-1	
77	65.57	4.70286e-05	-1	-1	
78	64.83	4.2805e-05	-1	-1	
79	64.09	3.88504e-05	-1	-1	
80	63.36	3.52242e-05	-1	-1	
81	62.63	3.19713e-05	-1	-1	
82	61.91	2.91214e-05	-1	-1	
83	61.19	2.66898e-05	-1	-1	
84	60.48	2.4678e-05	-1	-1	
85	59.77	2.30748e-05	-1	-1	
86	59.06	2.18583e-05	-1	-1	
87	58.36	2.09972e-05	-1	-1	
88	57.66	2.04529e-05	-1	-1	
89	56.96	2.01816e-05	-1	-1	
90	56.27	2.01357e-05	-1	-1	
91	55.58	2.02665e-05	-1	-1	
92	54.89	2.05252e-05	-1	-1	
93	54.21	2.08649e-05	-1	-1	
94	53.53	2.12418e-05	-1	-1	
95	52.85	2.16163e-05	-1	-1	
96	52.17	2.19539e-05	-1	-1	
97	51.5	2.2226e-05	-1	-1	
98	50.83	2.24099e-05	-1	-1	
99	50.16	2.24893e-05	-1	-1	
100	49.49	2.2454e-05	-1	-1	
101	48.83	2.22997e-05	-1	-1	
102	48.17	2.20275e-05	-1	-1	
103	47.51	2.16434e-05	-1	-1	
104	46.85	2.11576e-05	-1	-1	
105	46.19	2.05836e-05	-1	-1	
106	45.54	1.99377e-05	-1	-1	
107	44.89	1.9238e-05	-1	-1	
