 i 	 x 	 y 	 xe 	 ye
0	180	0.000163202	-1	-1	
1	176.54	0.000163524	-1	-1	
2	173.09	0.000164475	-1	-1	
3	169.67	0.000166002	-1	-1	
4	166.29	0.000168023	-1	-1	
5	162.97	0.000170424	-1	-1	
6	159.72	0.000173067	-1	-1	
7	156.55	0.000175797	-1	-1	
8	153.46	0.000178445	-1	-1	
9	150.46	0.000180843	-1	-1	
10	147.56	0.000182833	-1	-1	
11	144.75	0.000184275	-1	-1	
12	142.04	0.000185058	-1	-1	
13	139.43	0.000185111	-1	-1	
14	136.92	0.000184403	-1	-1	
15	134.5	0.000182946	-1	-1	
16	132.17	0.000180798	-1	-1	
17	129.93	0.000178051	-1	-1	
18	127.77	0.000174831	-1	-1	
19	125.7	0.000171283	-1	-1	
20	123.7	0.000167565	-1	-1	
21	121.77	0.000163836	-1	-1	
22	119.92	0.000160247	-1	-1	
23	118.13	0.000156928	-1	-1	
24	116.4	0.000153984	-1	-1	
25	114.74	0.000151481	-1	-1	
26	113.12	0.000149448	-1	-1	
27	111.56	0.00014787	-1	-1	
28	110.05	0.000146688	-1	-1	
29	108.58	0.000145806	-1	-1	
30	107.16	0.000145101	-1	-1	
31	105.78	0.000144426	-1	-1	
32	104.44	0.000143631	-1	-1	
33	103.13	0.00014257	-1	-1	
34	101.86	0.000141114	-1	-1	
35	100.62	0.000139162	-1	-1	
36	99.41	0.000136643	-1	-1	
37	98.23	0.000133525	-1	-1	
38	97.07	0.00012981	-1	-1	
39	95.95	0.000125534	-1	-1	
40	94.84	0.000120761	-1	-1	
41	93.76	0.000115582	-1	-1	
42	92.7	0.000110106	-1	-1	
43	91.66	0.000104455	-1	-1	
44	90.64	9.87626e-05	-1	-1	
45	89.64	9.3162e-05	-1	-1	
46	88.65	8.77862e-05	-1	-1	
47	87.68	8.27599e-05	-1	-1	
48	86.73	7.81945e-05	-1	-1	
49	85.79	7.41828e-05	-1	-1	
50	84.87	7.07943e-05	-1	-1	
51	83.96	6.80719e-05	-1	-1	
52	83.06	6.603e-05	-1	-1	
53	82.17	6.46539e-05	-1	-1	
54	81.3	6.39019e-05	-1	-1	
55	80.44	6.37081e-05	-1	-1	
56	79.58	6.39866e-05	-1	-1	
57	78.74	6.46371e-05	-1	-1	
58	77.91	6.55504e-05	-1	-1	
59	77.08	6.66136e-05	-1	-1	
60	76.27	6.7716e-05	-1	-1	
61	75.46	6.87533e-05	-1	-1	
62	74.66	6.96309e-05	-1	-1	
63	73.87	7.02674e-05	-1	-1	
64	73.09	7.05959e-05	-1	-1	
65	72.31	7.05655e-05	-1	-1	
66	71.55	7.01411e-05	-1	-1	
67	70.78	6.93038e-05	-1	-1	
68	70.03	6.80502e-05	-1	-1	
69	69.27	6.63907e-05	-1	-1	
70	68.53	6.43495e-05	-1	-1	
71	67.79	6.19618e-05	-1	-1	
72	67.06	5.9273e-05	-1	-1	
73	66.33	5.63366e-05	-1	-1	
74	65.6	5.32119e-05	-1	-1	
75	64.88	4.99626e-05	-1	-1	
76	64.17	4.6654e-05	-1	-1	
77	63.46	4.3351e-05	-1	-1	
78	62.75	4.01164e-05	-1	-1	
79	62.05	3.70086e-05	-1	-1	
80	61.35	3.40799e-05	-1	-1	
81	60.66	3.1375e-05	-1	-1	
82	59.97	2.89304e-05	-1	-1	
83	59.28	2.67733e-05	-1	-1	
84	58.6	2.49212e-05	-1	-1	
85	57.92	2.33826e-05	-1	-1	
86	57.24	2.21574e-05	-1	-1	
87	56.57	2.12373e-05	-1	-1	
88	55.9	2.0607e-05	-1	-1	
89	55.23	2.02456e-05	-1	-1	
90	54.56	2.01273e-05	-1	-1	
91	53.9	2.02228e-05	-1	-1	
92	53.24	2.05004e-05	-1	-1	
93	52.58	2.09268e-05	-1	-1	
94	51.93	2.14682e-05	-1	-1	
95	51.28	2.20906e-05	-1	-1	
96	50.63	2.27613e-05	-1	-1	
97	49.98	2.34487e-05	-1	-1	
98	49.33	2.41234e-05	-1	-1	
99	48.69	2.47584e-05	-1	-1	
100	48.05	2.53296e-05	-1	-1	
101	47.41	2.58162e-05	-1	-1	
102	46.77	2.62011e-05	-1	-1	
103	46.13	2.64709e-05	-1	-1	
104	45.5	2.6616e-05	-1	-1	
105	44.87	2.6631e-05	-1	-1	
106	44.24	2.65142e-05	-1	-1	
107	43.61	2.62673e-05	-1	-1	
108	42.98	2.58957e-05	-1	-1	
109	42.35	2.54073e-05	-1	-1	
110	41.73	2.48127e-05	-1	-1	
111	41.11	2.41245e-05	-1	-1	
112	40.48	2.33566e-05	-1	-1	
113	39.86	2.25238e-05	-1	-1	
114	39.24	2.16416e-05	-1	-1	
115	38.63	2.07253e-05	-1	-1	
116	38.01	1.97899e-05	-1	-1	
117	37.4	1.88496e-05	-1	-1	
118	36.78	1.79178e-05	-1	-1	
119	36.17	1.70065e-05	-1	-1	
120	35.56	1.61266e-05	-1	-1	
121	34.95	1.52874e-05	-1	-1	
122	34.34	1.44969e-05	-1	-1	
123	33.73	1.37614e-05	-1	-1	
124	33.12	1.30859e-05	-1	-1	
125	32.51	1.2474e-05	-1	-1	
126	31.91	1.19278e-05	-1	-1	
127	31.3	1.14484e-05	-1	-1	
128	30.7	1.10357e-05	-1	-1	
129	30.09	1.06885e-05	-1	-1	
130	29.49	1.04047e-05	-1	-1	
131	28.89	1.01816e-05	-1	-1	
132	28.29	1.00156e-05	-1	-1	
133	27.69	9.90282e-06	-1	-1	
134	27.09	9.83896e-06	-1	-1	
135	26.49	9.81945e-06	-1	-1	
136	25.89	9.83959e-06	-1	-1	
137	25.3	9.89469e-06	-1	-1	
138	24.7	9.98016e-06	-1	-1	
139	24.1	1.00916e-05	-1	-1	
140	23.51	1.02249e-05	-1	-1	
141	22.91	1.03762e-05	-1	-1	
142	22.32	1.05422e-05	-1	-1	
143	21.73	1.07198e-05	-1	-1	
144	21.13	1.09065e-05	-1	-1	
145	20.54	1.11003e-05	-1	-1	
146	19.95	1.12994e-05	-1	-1	
147	19.36	1.15026e-05	-1	-1	
148	18.77	1.1709e-05	-1	-1	
149	18.18	1.19181e-05	-1	-1	
150	17.59	1.21297e-05	-1	-1	
151	17	1.23437e-05	-1	-1	
152	16.41	1.25603e-05	-1	-1	
153	15.82	1.27796e-05	-1	-1	
154	15.23	1.30022e-05	-1	-1	
155	14.64	1.32281e-05	-1	-1	
156	14.05	1.34577e-05	-1	-1	
157	13.46	1.36911e-05	-1	-1	
158	12.88	1.39283e-05	-1	-1	
159	12.29	1.4169e-05	-1	-1	
160	11.7	1.4413e-05	-1	-1	
161	11.12	1.46596e-05	-1	-1	
162	10.53	1.49079e-05	-1	-1	
163	9.94	1.5157e-05	-1	-1	
164	9.36	1.54056e-05	-1	-1	
165	8.77	1.56522e-05	-1	-1	
166	8.19	1.58953e-05	-1	-1	
167	7.6	1.61331e-05	-1	-1	
168	7.01	1.63637e-05	-1	-1	
169	6.43	1.65853e-05	-1	-1	
170	5.84	1.67959e-05	-1	-1	
171	5.26	1.69935e-05	-1	-1	
172	4.68	1.71762e-05	-1	-1	
173	4.09	1.73423e-05	-1	-1	
174	3.51	1.749e-05	-1	-1	
175	2.92	1.76178e-05	-1	-1	
176	2.34	1.77243e-05	-1	-1	
177	1.75	1.78084e-05	-1	-1	
178	1.17	1.78691e-05	-1	-1	
179	0.58	1.79059e-05	-1	-1	
180	0	1.79181e-05	-1	-1	
