 i 	 x 	 y 	 xe 	 ye
0	180	0.000643552	-1	-1	
1	176.31	0.000644071	-1	-1	
2	172.63	0.000645545	-1	-1	
3	169	0.000647725	-1	-1	
4	165.41	0.000650213	-1	-1	
5	161.9	0.000652483	-1	-1	
6	158.48	0.000653914	-1	-1	
7	155.14	0.000653832	-1	-1	
8	151.91	0.000651559	-1	-1	
9	148.79	0.000646468	-1	-1	
10	145.78	0.000638035	-1	-1	
11	142.88	0.000625879	-1	-1	
12	140.1	0.000609799	-1	-1	
13	137.43	0.000589783	-1	-1	
14	134.87	0.00056601	-1	-1	
15	132.41	0.000538827	-1	-1	
16	130.06	0.000508722	-1	-1	
17	127.8	0.000476301	-1	-1	
18	125.64	0.000442255	-1	-1	
19	123.57	0.000407349	-1	-1	
20	121.57	0.000372407	-1	-1	
21	119.66	0.000338296	-1	-1	
22	117.82	0.000305913	-1	-1	
23	116.05	0.000276143	-1	-1	
24	114.35	0.000249812	-1	-1	
25	112.7	0.000227619	-1	-1	
26	111.12	0.000210065	-1	-1	
27	109.58	0.000197403	-1	-1	
28	108.1	0.000189593	-1	-1	
29	106.66	0.000186313	-1	-1	
30	105.27	0.000186987	-1	-1	
31	103.92	0.000190854	-1	-1	
32	102.61	0.000197059	-1	-1	
33	101.33	0.000204736	-1	-1	
34	100.09	0.000213092	-1	-1	
35	98.88	0.000221457	-1	-1	
36	97.7	0.000229321	-1	-1	
37	96.55	0.000236325	-1	-1	
38	95.43	0.00024224	-1	-1	
39	94.33	0.000246937	-1	-1	
40	93.25	0.00025034	-1	-1	
41	92.2	0.000252408	-1	-1	
42	91.17	0.000253119	-1	-1	
43	90.16	0.000252479	-1	-1	
44	89.16	0.00025054	-1	-1	
45	88.19	0.000247424	-1	-1	
46	87.23	0.000243336	-1	-1	
47	86.28	0.00023857	-1	-1	
48	85.36	0.000233484	-1	-1	
49	84.44	0.000228474	-1	-1	
50	83.54	0.000223926	-1	-1	
51	82.65	0.000220172	-1	-1	
52	81.78	0.000217453	-1	-1	
53	80.92	0.000215897	-1	-1	
54	80.06	0.000215503	-1	-1	
55	79.22	0.000216156	-1	-1	
56	78.39	0.000217639	-1	-1	
57	77.57	0.000219668	-1	-1	
58	76.76	0.000221923	-1	-1	
59	75.95	0.000224082	-1	-1	
60	75.16	0.000225851	-1	-1	
61	74.37	0.000226989	-1	-1	
62	73.59	0.000227316	-1	-1	
63	72.82	0.000226717	-1	-1	
64	72.05	0.000225135	-1	-1	
65	71.29	0.000222559	-1	-1	
66	70.54	0.000219009	-1	-1	
67	69.8	0.000214526	-1	-1	
68	69.06	0.000209159	-1	-1	
69	68.32	0.000202964	-1	-1	
70	67.59	0.000196002	-1	-1	
71	66.87	0.000188338	-1	-1	
72	66.15	0.00018005	-1	-1	
73	65.43	0.000171225	-1	-1	
74	64.73	0.00016197	-1	-1	
75	64.02	0.000152409	-1	-1	
76	63.32	0.000142682	-1	-1	
77	62.62	0.000132947	-1	-1	
78	61.93	0.000123368	-1	-1	
79	61.24	0.000114116	-1	-1	
80	60.56	0.000105354	-1	-1	
81	59.88	9.723e-05	-1	-1	
82	59.2	8.98704e-05	-1	-1	
83	58.53	8.33717e-05	-1	-1	
84	57.85	7.77979e-05	-1	-1	
85	57.19	7.318e-05	-1	-1	
86	56.52	6.95177e-05	-1	-1	
87	55.86	6.67846e-05	-1	-1	
88	55.2	6.49334e-05	-1	-1	
89	54.54	6.39026e-05	-1	-1	
90	53.89	6.36211e-05	-1	-1	
91	53.24	6.40142e-05	-1	-1	
92	52.59	6.50055e-05	-1	-1	
93	51.94	6.65196e-05	-1	-1	
94	51.3	6.84825e-05	-1	-1	
95	50.66	7.08207e-05	-1	-1	
96	50.02	7.34607e-05	-1	-1	
97	49.38	7.63275e-05	-1	-1	
98	48.74	7.93436e-05	-1	-1	
99	48.11	8.24284e-05	-1	-1	
100	47.48	8.54984e-05	-1	-1	
101	46.85	8.84681e-05	-1	-1	
102	46.22	9.12522e-05	-1	-1	
103	45.59	9.37679e-05	-1	-1	
104	44.97	9.59377e-05	-1	-1	
105	44.34	9.7693e-05	-1	-1	
106	43.72	9.89764e-05	-1	-1	
107	43.1	9.97443e-05	-1	-1	
108	42.48	9.99686e-05	-1	-1	
109	41.87	9.96371e-05	-1	-1	
110	41.25	9.87534e-05	-1	-1	
111	40.64	9.73356e-05	-1	-1	
112	40.02	9.54149e-05	-1	-1	
113	39.41	9.30327e-05	-1	-1	
114	38.8	9.02385e-05	-1	-1	
115	38.19	8.70872e-05	-1	-1	
116	37.58	8.36361e-05	-1	-1	
117	36.97	7.99435e-05	-1	-1	
118	36.37	7.60662e-05	-1	-1	
119	35.76	7.20585e-05	-1	-1	
120	35.16	6.79711e-05	-1	-1	
121	34.56	6.38507e-05	-1	-1	
122	33.95	5.974e-05	-1	-1	
123	33.35	5.56773e-05	-1	-1	
124	32.75	5.1697e-05	-1	-1	
125	32.15	4.78304e-05	-1	-1	
126	31.56	4.41052e-05	-1	-1	
127	30.96	4.05467e-05	-1	-1	
128	30.36	3.71775e-05	-1	-1	
129	29.77	3.40182e-05	-1	-1	
130	29.17	3.10873e-05	-1	-1	
131	28.58	2.8401e-05	-1	-1	
132	27.98	2.59738e-05	-1	-1	
133	27.39	2.38181e-05	-1	-1	
134	26.8	2.19439e-05	-1	-1	
135	26.21	2.03593e-05	-1	-1	
136	25.62	1.907e-05	-1	-1	
137	25.03	1.80794e-05	-1	-1	
138	24.44	1.73886e-05	-1	-1	
139	23.85	1.69966e-05	-1	-1	
140	23.26	1.69002e-05	-1	-1	
141	22.67	1.70943e-05	-1	-1	
142	22.08	1.75719e-05	-1	-1	
143	21.5	1.83245e-05	-1	-1	
144	20.91	1.93419e-05	-1	-1	
145	20.32	2.06127e-05	-1	-1	
146	19.74	2.21245e-05	-1	-1	
147	19.15	2.38639e-05	-1	-1	
148	18.57	2.58165e-05	-1	-1	
149	17.98	2.79674e-05	-1	-1	
150	17.4	3.03011e-05	-1	-1	
151	16.82	3.28014e-05	-1	-1	
152	16.23	3.54517e-05	-1	-1	
153	15.65	3.8235e-05	-1	-1	
154	15.07	4.11338e-05	-1	-1	
155	14.49	4.41304e-05	-1	-1	
156	13.9	4.72066e-05	-1	-1	
157	13.32	5.03441e-05	-1	-1	
158	12.74	5.35243e-05	-1	-1	
159	12.16	5.67285e-05	-1	-1	
160	11.58	5.99379e-05	-1	-1	
161	11	6.31337e-05	-1	-1	
162	10.42	6.62972e-05	-1	-1	
163	9.84	6.941e-05	-1	-1	
164	9.26	7.2454e-05	-1	-1	
165	8.68	7.54114e-05	-1	-1	
166	8.1	7.82651e-05	-1	-1	
167	7.52	8.09987e-05	-1	-1	
168	6.94	8.35964e-05	-1	-1	
169	6.36	8.60434e-05	-1	-1	
170	5.78	8.83257e-05	-1	-1	
171	5.21	9.04306e-05	-1	-1	
172	4.63	9.23461e-05	-1	-1	
173	4.05	9.40616e-05	-1	-1	
174	3.47	9.55678e-05	-1	-1	
175	2.89	9.68563e-05	-1	-1	
176	2.31	9.79201e-05	-1	-1	
177	1.73	9.87534e-05	-1	-1	
178	1.16	9.93519e-05	-1	-1	
179	0.58	9.97123e-05	-1	-1	
180	0	9.98326e-05	-1	-1	
