# deformation taken from https://www-phynu.cea.fr/science_en_ligne/carte_potentiels_microscopiques/carte_potentiel_nucleaire.htm
# Z A beta
77 172 0.28
77 173 0.29
77 174 0.30
77 175 0.31
78 174 0.3
78 175 0.3
78 176 0.3
78 177 0.35
78 178 0.35
79 176 0.30
79 177 0.30
79 178 0.35
79 179 0.35
79 180 0.35
79 181 0.35
79 182 0.35
80 180 0.30
80 181 0.35
80 182 0.35
80 183 0.35
80 184 0.30
80 185 0.30
80 186 -0.15
81 183 0.30
81 184 0.30
81 185 -0.15
81 186 0.30
81 187 -0.15
81 188 -0.15
82 186 0
82 187 0
82 188 0
82 189 0
82 190 0
82 191 0
82 192 0
82 193 0
82 194 0
83 189 0
83 190 -0.2
83 191 -0.2
83 192 -0.2
83 193 -0.1
83 194 -0.1
83 195 -0.1
83 196 -0.1
83 197 -0.1
84 192 -0.2
84 193 -0.2
84 194 -0.2
84 195 -0.2
84 196 0.1
84 197 0.1
84 198 0.1
84 199 0.1
84 200 0.05
84 201 0.01
85 196 0.1
85 197 0.1
85 198 0.1
85 199 0.1
85 200 0.1
85 201 0.1
85 202 0.1
85 203 0.1
86 200 0.1
86 201 0.1
86 202 0.1
86 203 0.1
86 204 0.05
86 205 0.05
86 206 0.05
87 203 0.15
87 204 0.15
87 205 0.1
87 206 0.1
87 207 0.05
87 208 0.05
87 209 0
87 210 0
87 211 0
88 209 0.05
88 210 0
88 211 0
88 212 0
88 213 0
88 214 0
89 212 0
89 213 0
89 214 0
89 215 0
89 216 0
89 217 0 
89 218 0
90 216 0
90 217 0
90 219 0
90 220 0.1

